Station_code,Station_name,Latitude,Longitude,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
78269,Ripple Bay,1.378618754,103.9609618,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
78271,Casa Pasir Ris,1.379222548,103.9638335,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
78279,Opp Loyang Townhse,1.379235677,103.9642668,4,PASIR RIS PARK,PRSZ04,PASIR RIS,PR,EAST REGION,ER
80009,Lor 1 Geylang Ter,1.311164222,103.8721634,4,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
80011,AFT PADANG JERINGAU,1.309727208,103.8673783,8,KALLANG BAHRU,KLSZ08,KALLANG,KL,CENTRAL REGION,CR
80029,Bef Kg Bugis,1.30941874,103.867535,4,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
80031,Kallang Stn,1.311077057,103.8713149,3,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
80039,Opp Lor 1 Geylang Ter,1.309923362,103.8714434,4,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
80049,Aft Sims Way,1.310777078,103.8736366,4,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
80051,Aft Lor 1 Geylang,1.312515,103.8732619,3,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
80069,Opp Mohd Salleh Mque,1.312147033,103.8771502,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80071,Yi Xiu Fty Bldg,1.313800092,103.8765539,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80089,Bef Lor 18 Geylang,1.312744836,103.8808052,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80091,Bef Lor 23 Geylang,1.314897752,103.8809514,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80101,Kallang Stn/Opp Blk 2C,1.312519335,103.8715383,3,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
80109,Opp Kallang Stn/Blk 2C,1.313244737,103.8714302,3,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
80111,Bef Geylang Rd,1.309871381,103.875515,4,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
80119,Aft Geylang Rd,1.309920655,103.875998,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80141,Opp S.A. Deaf,1.307118355,103.8798937,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
80149,S.A. Deaf,1.307496371,103.8798058,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80151,Opp Suntec City,1.296405321,103.8579113,2,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR
80159,Suntec City,1.295962317,103.8579517,3,MARINA CENTRE,DTSZ03,DOWNTOWN CORE,DT,CENTRAL REGION,CR
80161,Opp Nicoll Highway Stn,1.300327156,103.8624541,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
80169,Nicoll Highway Stn,1.300705476,103.8633601,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
80171,CP F,1.300840752,103.8771535,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
80179,Opp CP F,1.300594053,103.8771287,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
80181,Kallang Squash Ctr,1.305084395,103.8796984,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
80189,Opp Kallang Squash Ctr,1.305037412,103.881077,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
80191,Opp S'pore Indoor Stadium,1.301608872,103.8754059,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
80199,S'pore Indoor Stadium,1.301558385,103.8751353,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
80211,Opp Natl Stadium,1.307128036,103.8754811,4,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
80219,Natl Stadium,1.306743814,103.8752641,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
80229,Blk 45,1.317289721,103.8781055,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80231,Opp Blk 53,1.318565032,103.8801086,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80239,Bef Blk 53,1.318463509,103.880511,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80249,Blk 49 Mkt/FC,1.316936431,103.8798599,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80251,Aft Lor 14 Geylang,1.310094874,103.879925,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80259,Aft Chen Li Presby Ch,1.309895,103.8798883,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80269,Bef Sims Ave,1.31501453,103.878361,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80271,Opp Mountbatten Stn,1.305113985,103.8831203,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
80279,Mountbatten Stn Exit B,1.305149034,103.88342,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80289,Sims Pl Ter,1.316075,103.8793281,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
80291,Blk 82,1.319559688,103.8722933,2,GEYLANG BAHRU,KLSZ02,KALLANG,KL,CENTRAL REGION,CR
80299,Opp Blk 82,1.319548352,103.8719722,2,GEYLANG BAHRU,KLSZ02,KALLANG,KL,CENTRAL REGION,CR
80301,Bef Blk 19,1.31643329,103.8734862,3,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
80309,Aft Geylang West CC,1.317231347,103.8729891,3,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
80311,Blk 3B,1.314433333,103.8726003,3,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
80319,Geylang West CC,1.31484297,103.8726223,3,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
81011,Aft Aljunied Stn,1.315323187,103.8833517,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81029,Aft Lor 28 Geylang,1.313616389,103.8849306,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81031,Blk 134,1.31580283,103.8860485,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81049,Aft Lor 34 Geylang,1.314075556,103.8873525,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81051,Sims Ville,1.316623431,103.8903344,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81069,Opp Lor 39 Geylang,1.314729,103.89069,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81081,Opp Aljunied Stn,1.316216659,103.8816816,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81089,Aljunied Stn,1.316281943,103.8820224,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81091,Opp Blk 105,1.319353333,103.8817311,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81099,Blk 102,1.319822767,103.8819467,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81101,CISCO Ctr,1.321115224,103.8915222,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
81109,Opp CISCO Ctr,1.320913717,103.8911718,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81111,Paya Lebar Stn Exit B,1.318602386,103.8921169,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
81119,Paya Lebar Stn Exit C,1.318567246,103.891695,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81129,Paya Lebar Stn Exit D,1.316311474,103.8921727,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81131,Opp Grandlink Sq,1.314315054,103.8922161,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
81139,Grandlink Sq,1.314353286,103.8919176,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81141,Versailles Condo,1.312008056,103.8903575,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
