FID,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID_2,Join_Cou_1,TARGET_F_1,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,population,commerical,Shape_Leng,floor,Shape_Le_1,Shape_Area,memebershi,membership,Field1,V1,V2,V3
139,149,3,148,149,4,148,149,1,KAKI BUKIT,BDSZ01,39430,194730,8153.888135,358631,8153.888135,2820171.679,East Coast,East Coast,13,BDSZ01,4,3
140,150,0,149,150,0,149,150,2,YUHUA EAST,JESZ02,26330,0,4018.421017,0,4018.421017,924762.4774,West Coast,Jurong,116,JESZ02,2,2
141,151,31,150,151,47,150,151,9,BUKIT BATOK SOUTH,BKSZ09,14020,787830,6998.805924,852542,6998.805924,1806553.076,West Coast,Jurong,29,BKSZ09,2,2
142,152,4,151,152,4,151,152,9,JURONG WEST CENTRAL,JWSZ09,67630,21371.30078,4649.79715,21371.30078,4649.79715,1404536.643,Jurong,Jurong,133,JWSZ09,7,2
143,153,0,152,153,0,152,153,2,BEDOK RESERVOIR,BDSZ02,26190,0,6899.5259,0,6899.5259,2379331.529,East Coast,Changi,14,BDSZ02,4,8
144,154,1,153,154,1,153,154,1,TOH TUCK,CLSZ01,30,146106,6119.883497,146106,6119.883497,2077796.547,West Coast,Jurong,79,CLSZ01,2,2
145,155,0,154,155,0,154,155,5,MOUNT PLEASANT,NVSZ05,680,0,7234.110745,0,7234.110745,3142950.108,Toa Payoh,Toa Payoh,163,NVSZ05,5,9
146,156,0,155,156,0,155,156,5,HILLCREST,BTSZ05,8980,0,7428.700261,0,7428.700261,2636483.259,West Coast,West Coast,65,BTSZ05,2,4
147,157,143,156,157,179,156,157,12,JOO SENG,TPSZ12,7550,809589,4254.531333,876593,4254.531333,1057165.244,East Coast,East Coast,278,TPSZ12,4,3
148,158,2,157,158,4,157,158,5,CHIN BEE,JWSZ05,10,24990,4899.033957,41687.10156,4899.033957,1287949.825,Jurong,Jurong,129,JWSZ05,7,2
149,159,5,158,159,10,158,159,5,LORONG 8 TOA PAYOH,TPSZ05,7760,74973.20313,3271.271192,170384,3271.271192,439646.7616,Toa Payoh,Toa Payoh,271,TPSZ05,5,9
150,160,2,159,160,9,159,160,3,TOH GUAN,JESZ03,15870,73669.20313,4462.314412,354937,4462.314412,746882.3023,West Coast,Jurong,117,JESZ03,2,2
151,161,4,160,161,6,160,161,3,BRADDELL,TPSZ03,10400,128115,3513.756935,218652,3513.756935,446241.7919,Toa Payoh,Toa Payoh,269,TPSZ03,5,9
152,162,0,161,162,0,161,162,10,BIDADARI,TPSZ10,0,0,3323.742838,0,3323.742838,572502.1398,East Coast,East Coast,276,TPSZ10,4,3
153,163,403,162,163,586,162,163,4,ALJUNIED,GLSZ04,40010,587305,7100.699079,834645,7100.699079,2959367.625,East Coast,East Coast,103,GLSZ04,4,3
154,164,0,163,164,0,163,164,4,TYERSALL,TNSZ04,3600,0,6430.986147,0,6430.986147,2158289.716,Central,West Coast,266,TNSZ04,1,4
155,165,8,164,165,10,164,165,2,MOULMEIN,NVSZ02,8870,261466,5388.741938,347406,5388.741938,1347456.011,Toa Payoh,Central,160,NVSZ02,5,1
156,166,0,165,166,0,165,166,2,LIU FANG,BLSZ02,10,0,7135.442501,0,7135.442501,2338909.489,Jurong,Jurong,31,BLSZ02,7,2
157,167,12,166,167,15,166,167,5,FRANKEL,BDSZ05,33900,706761,8750.386291,932531,8750.386291,4297140.714,East Coast,East Coast,17,BDSZ05,4,3
158,168,0,167,168,0,167,168,4,CLEMENTI NORTH,CLSZ04,30360,0,4251.445365,0,4251.445365,991039.7807,West Coast,Jurong,82,CLSZ04,2,2
